,Composition,Formation Energy Per Atom,Corrected Energy
423,Pd16Sn7Te1Y6,-0.8592,-178.6626
424,Ag1Ho1Li3Pr2Sn4,-0.6284,-45.6547
425,B2Ga4Si2Ta10,-0.5059,-164.0051
426,B6Ir7Os1Tm3,-0.714,-138.7381
427,As2Hf3Mo2P1Ru1,-0.8606,-83.3138
428,Al14Rh7Se1Zr8,-0.9015,-202.9117
429,Fe5Pt1Si2U4,-0.4417,-109.7371
430,B4Er4Re2Ru10,-0.4292,-171.2061
431,Hg3Mg1Rh4Tb10Y6,-0.5095,-129.3389
432,Cr6F24K2Rb4,-3.1038,-221.6747
433,Eu16Li4Ni4,-0.0906,-197.603
434,Ag1Ce4Si7,-0.622,-72.0065
435,Bi8Dy3Ga4Tb17,-0.65,-156.6376
436,Er1Hf2Ni4P4Sm1,-1.1633,-87.9338
437,Co14Ga3Ho2,-0.2115,-121.7844
438,Np1Sc8Se16Sr3,-2.0125,-180.9603
439,I12K4Np2,-1.4037,-73.8927
440,Ac8Au20Mg1Sn5,-0.7095,-144.1194
441,B6Co6Cu2Ni6Pr1Tb3,-0.4733,-155.6492
442,Bi2Ho2In4Tm8,-0.4788,-71.4184
443,Bi2Dy8Ga3Ni1Tb2,-0.5524,-77.6055
444,Ac1H6Mn1Na1,-0.4415,-38.94
445,Ca2Cd1In1Ni4,-0.2466,-32.7791
446,Bi2Nd3Rh3Sn1,-0.7848,-55.2499
447,La4Li1Si6Zn1,-0.6593,-63.3766
448,Cr1F6N1O2,-1.8026,-57.3803
449,As4Fe4Hf20P8,-0.9745,-330.0477
450,Er7Ho1Ir1Si15Ti12,-0.8028,-250.4216
451,Ga6Hf6Pd1Pt2Rh3,-0.8701,-132.9881
452,Lu2Pa2Tc6Tm2,-0.2904,-102.671
453,In3Pt2Sn1Sr2,-0.6839,-33.2566
454,As8Np5Pa1,-0.7293,-121.7374
455,Al2La1Th3Zn10,-0.3501,-52.8671
456,Ag3Cd2La4Rh1,-0.4318,-41.7693
457,Au2H6Rb2,-0.2514,-31.3789
458,Lu7Si16Tm1Yb12,-0.6112,-163.4044
459,Na1Nb8Sb1Se16,-1.1494,-172.0815
460,Ga23Pd9Y4Zn1,-0.6031,-165.7065
461,Al3Nd8Pd1Si12,-0.6954,-136.3553
462,Cd3Mg1Nd16Pt3Ru1,-0.4568,-119.1094
463,B24Dy1Os4Tb7,-0.6377,-265.2178
464,Al19Fe8Ho4Lu2Si5,-0.5098,-212.7957
465,B4Li10Pt10,-0.5828,-120.502
466,Cs19P16S48Tl13,-0.9663,-425.6375
467,Dy2Os4Y8,-0.2556,-109.4336
468,I24Mo3Nb5Tc4,-0.7099,-186.6174
469,Hf10Ir3N4Pd5Zr6,-1.1015,-267.461
470,Be8Fe1V2W1,-0.2819,-72.8941
471,Er7Ho1Rh1Sc12Si15,-0.8259,-231.0241
472,Bi8Er18Lu2Ru4,-0.6187,-179.2775
473,Ho8Nb8Si16Ta4,-0.7756,-279.6264
474,Pa1Pt9Tb2,-1.045,-85.9614
475,Hf12Ho8Pb1Si15,-0.7842,-269.4705
476,Ho2P2Pb6Tb8,-0.8238,-94.1712
477,B12Os12Sc4Ta8,-0.6467,-358.3557
478,Mn2Pt7Rh3Zr4,-0.8503,-130.7096
479,Ca2La1O14Pr1Ru4,-2.3873,-172.6171
480,Al24Ho6Pd3Ru5,-0.7059,-206.1238
481,Sc2Se10Tl2Zr3,-1.5823,-104.8897
482,As4La1Pu3Se4,-1.4108,-97.2896
